time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GOVT,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PX,PYPL,QCOM,QQQ,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,V,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2021-11-05 04:21:00+00:00,150.81,,,,,,,,61.41,,,,3463.46,,68.21,,,213.0,47.34,,,59.1,,,,,,,,,,,,,,,,,,,,,,,113.86,,41.17,,,170.1,,,,,,,,,,19.69,337.74,,,39.78,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.5,100.5,337.15,72.27,83.0,665.75,175.92,,,302.75,,,,43.71,,,,,,,,,155.67,398.32,,,,33.35,,,,467.09,,,24.85,,,147.36,,1232.47,,,,,,,,,,,,,50.7,,,26.01,,40.04,,,,63.8842,
2021-11-05 04:22:00+00:00,150.81,,,,,,,,61.41,,,,3463.46,,68.21,,,213.0,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.17,,,170.1,,,,,,,,,,19.69,337.74,,,39.78,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.5,100.5,337.15,72.27,83.0,665.75,175.92,,,302.76,,,,43.71,,,,,,,,,155.67,398.44,,,,33.35,,,,467.09,,,24.85,,,147.36,,1231.89,,,,,,,,,,,,,50.7,,,26.18,,40.04,,,,63.8842,
2021-11-05 04:23:00+00:00,150.81,,,,,,,,61.41,,,,3463.46,,68.21,,,213.0,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.17,,,170.1,,,,,,,,,,19.74,337.74,,,39.78,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.5,100.5,337.15,72.27,83.0,665.75,175.92,,,302.8,,,,43.71,,,,,,,,,155.67,398.4,,,,33.35,,,,467.09,,,24.85,,,147.36,,1231.89,,,,,,,,,,,,,50.7,,,26.18,,40.04,,,,63.8842,
2021-11-05 04:24:00+00:00,150.85,,,,,,,,61.41,,,,3463.46,,68.22,,,213.0,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.17,,,170.1,,,,,,,,,,19.74,338.0,,,39.78,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.5,100.5,337.15,72.27,83.0,665.75,175.92,,,303.09,,,,43.71,,,,,,,,,155.67,398.42,,,,33.31,,,,467.09,,,24.85,,,147.36,,1230.0,53.83,,,,,,,,,,,,50.7,,,26.18,,40.04,,,,63.8842,
2021-11-05 04:25:00+00:00,150.7,,,,,,,,61.41,,,,3463.46,,68.22,,,213.0,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.17,,,170.1,,,,,,,,,,19.74,338.0,,,39.78,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.5,100.5,337.15,72.27,83.0,665.75,175.92,,,303.45,,,,43.71,,,,,,,,,155.67,398.42,,,,33.31,,,,467.09,,,24.85,,,147.36,,1230.0,53.83,,,,,,,,,,,,50.7,,151.89,26.18,,40.04,,,,63.8842,
2021-11-05 04:26:00+00:00,150.88,,,,,,,,61.41,,,,3463.46,,68.22,,,213.0,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.24,,,170.1,,,,,,,,,,19.74,338.1,,,39.79,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.7,100.5,337.15,72.27,83.0,665.75,175.92,,,302.66,,,,43.71,,,,,,,,,155.67,398.59,,,,33.31,,,,467.1,,,24.85,,,147.36,,1230.0,53.83,,,,,,,,,,,,50.7,,151.89,26.18,,40.04,,,,63.8842,
2021-11-05 04:27:00+00:00,150.88,,,,,,,,61.41,,,,3463.46,,68.22,,,213.0,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.24,,,170.1,,,,,,,,,,19.74,338.1,,,39.79,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.7,100.5,337.15,72.27,83.0,665.75,175.92,,,303.06,,,,43.71,,,,,,,,,155.67,398.59,111.3184,,,33.31,,,,467.13,,,24.85,,,147.36,,1230.0,53.83,,,,,,,,,,,,50.7,,151.89,26.18,,40.04,,,,63.8842,
2021-11-05 04:28:00+00:00,150.88,,,,,,,,61.41,,,,3463.46,,68.22,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.17,,,170.1,,,,,,,,,,19.74,338.1,,,39.79,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.7,100.5,337.15,72.27,83.0,665.75,175.92,,,303.0,,,,43.71,,,,,,,,,155.67,398.52,111.3184,,,33.31,,,,466.97,,,24.85,,,147.36,,1230.0,53.83,,,,,,,,,,,,50.7,,151.89,26.18,,40.04,,,,63.8842,
2021-11-05 04:29:00+00:00,150.88,,,,,,,,61.41,,,,3463.46,,68.22,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.7,338.1,,,39.79,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.74,100.5,337.15,72.27,83.0,665.75,175.92,,,302.98,,,,43.71,,,,,,,,,155.67,398.48,111.3184,,,33.31,,,,467.02,,,24.85,,,147.36,,1230.0,53.83,,,,,,,,,20.08,,,50.7,,151.89,26.13,,40.04,,,,63.8842,
2021-11-05 04:30:00+00:00,150.78,,,,,,,,61.41,,,,3463.46,,68.22,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.7,338.1,,,39.79,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.74,100.5,337.15,72.27,83.0,665.75,175.92,,,302.99,,,,43.71,,,,,,,,,155.67,398.51,111.3184,,,33.31,,,,467.04,,,24.85,,,147.36,,1229.49,53.83,,,,,,,,,20.08,,,50.7,,151.89,26.2,,40.04,,,,63.8842,
2021-11-05 04:31:00+00:00,150.73,,,,,,,,61.41,,,,3463.46,,68.22,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.75,338.1,,,39.92,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.74,100.5,337.15,72.27,83.0,665.75,175.92,,,302.99,,,,43.71,,,,,,,,228.0,155.67,398.5,111.3184,,,33.31,,,,467.04,,,24.85,,,147.36,,1229.0,53.83,,,,,,,,,20.08,,,50.7,,151.89,26.2,,40.04,,,,63.8842,
2021-11-05 04:32:00+00:00,150.73,,,,,,,,61.41,,,,3463.46,,68.22,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.75,338.1,,,39.92,,,,,58.67,,,,,,,,,,119.6858,,,50.25,,,,,,,,,,,,,,,,,,,,,,,,,91.68,100.5,337.15,72.26,83.0,665.75,175.92,,,303.13,,,,43.71,,,,,,,,228.0,155.67,398.5,111.3184,,,33.31,,,,467.04,,,24.85,,,147.36,,1229.0,53.83,,,,,,,,,20.08,,,50.7,,151.89,26.2,,40.04,,,,63.8842,
2021-11-05 04:33:00+00:00,150.72,,,,,,,,61.41,,,,3463.46,,68.22,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.75,338.2,,,39.92,,,,,58.67,,,,,,,,,,119.6858,,,50.25,,,,,,,,,,,,,,,,,,,,,,,,,91.68,100.5,337.15,72.26,83.0,665.75,175.92,,,303.13,,,,43.71,,,,,,,,228.0,155.67,398.41,111.3184,,,33.31,,,,467.04,,,24.85,,,147.36,,1229.0,53.83,,,,,,,,,20.08,,,50.7,,151.89,26.2,,40.04,,,,63.8842,
2021-11-05 04:34:00+00:00,150.72,,,,,,,,61.41,,,,3463.46,,67.97,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.75,338.2,,,39.92,,,,,58.67,,,,,,,,,,119.6858,,,50.21,,,,,,,,,,,,,,,,,,,,,,,,,91.68,100.5,337.33,72.26,83.0,665.75,175.92,,,303.33,,,,43.71,,,,,,,,228.0,155.78,398.41,111.3184,,,33.31,,,,466.92,,,24.85,,,147.36,,1229.0,53.83,,,,,,,,,20.04,,,50.7,,151.89,26.2,,40.04,,,,63.8842,
2021-11-05 04:35:00+00:00,150.72,,,,,,,,61.41,,,,3468.0,,67.97,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.75,338.2,,,39.92,,,,,58.67,,,,,,,,,,119.5477,,,50.21,,,,,,,,,,,,,,,,,,,,,,,,,91.68,100.5,337.33,72.26,83.0,665.75,175.92,,,303.43,,,,43.71,,,,,,,,228.0,155.72,398.4,111.3184,,,33.31,,,,466.92,,,24.85,,,147.36,,1226.87,53.84,,,,,,,,,20.04,,,50.7,,151.89,26.2,,40.04,,,,63.8842,
2021-11-05 04:36:00+00:00,150.72,,,,,,,,61.41,,,,3468.0,,67.97,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.74,338.2,,,39.92,,,,,58.67,,,,,,,,,,119.5477,,,50.21,,,,,,,,,,,,,,,,,,,,,,,,,91.75,100.5,337.33,72.26,83.0,665.75,175.92,,,303.4,,,,43.71,,,,,,,,228.0,155.72,398.4,111.3184,,,33.31,,,,467.02,,,24.85,,,147.36,,1225.57,53.84,,,,,,,,,20.04,,,50.7,,151.89,26.2,,40.04,,,,63.8842,
2021-11-05 04:37:00+00:00,150.72,,,,,,,,61.41,,,,3468.0,,67.97,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.74,338.2,,,39.92,,,,,58.67,,,,,,,,,,119.5477,,,50.25,,,,,,,,,,,,,,,,,,,,,,,,,91.75,100.5,337.33,72.26,83.0,665.75,175.92,,,303.38,,,,43.71,,,,,,,,228.0,155.72,398.4,111.3184,,,33.31,,,,467.02,,,24.85,,,147.36,,1225.57,53.84,,,,,,,,,20.04,,,50.7,,151.89,26.2,,40.04,,,,63.8842,
2021-11-05 04:38:00+00:00,150.7,,,,,,,,61.41,,,,3468.0,,67.97,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.74,338.2,,,39.92,,,,,58.67,,,,,,,,,,119.5477,,,50.25,,,,,,,,,,,,,,,,,,,,,,,,,91.75,100.5,337.33,72.26,83.0,665.75,175.92,,,303.9,,,,43.71,,,,,,,,228.0,155.72,398.47,111.3184,,,33.31,,,,466.99,,,24.87,,,147.36,,1227.03,53.84,,,,,,,,,20.04,,,50.7,,151.89,26.2,,40.04,,,,63.8842,
2021-11-05 04:39:00+00:00,150.66,,,,,,,,61.41,,,,3468.0,,67.97,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.74,338.2,,,39.92,,,,,58.67,,,,,,,,,,119.5477,,,50.25,,,,,,,,,,,,,,,,,,,,,,,,,91.75,100.5,337.33,72.26,83.0,665.75,175.92,,,304.3,,,,43.71,,,,,,,,228.0,155.72,398.47,111.3184,,,33.31,,,,466.99,,,24.87,,,147.36,,1227.0,53.84,,,,,,,,,20.04,,,50.7,,151.89,26.2,,40.04,,,,63.8842,
2021-11-05 04:40:00+00:00,150.7,,,,,,,,61.41,,,,3468.0,,67.97,,,212.7,47.34,,,59.1,,,,,,,,,,,,,,,,,,308.0,,,,,113.86,,41.21,,,170.1,,,,,,,,,,19.7,338.2,,,39.92,,,,,58.67,,,,,,,,,,119.5477,,,50.25,,,,,,,,56.5,,,,,,,,,,,,,,,,,91.75,100.5,337.33,72.26,83.0,665.75,175.92,,,304.89,,,,43.71,,,,,,,,228.0,155.72,398.47,111.3184,,,33.31,,,,466.99,,,24.87,,,147.36,,1227.0,53.84,,,,,,,,,20.04,,,50.7,,151.89,26.2,,40.04,,,,63.8842,
